country,scenario,year,variable,value
DE,9_nofoss_co2_75_low_pef,2030,Primary energy factor,1.3469805
DE,9_nofoss_co2_75_low_pef,2033,Primary energy factor,1.3469805
DE,9_nofoss_co2_75_low_pef,2035,Primary energy factor,1.3469805
DE,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.3469805
DE,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.3469805
DE,9_nofoss_co2_75_low_pef,START,Primary energy factor,1.3469805
DK,0_no_pol_cep,START,Primary energy factor,1.542157
DK,1_no_pol_cep_low_pef,2030,Primary energy factor,1.3957746
DK,1_no_pol_cep_low_pef,2033,Primary energy factor,1.3469805
DK,1_no_pol_cep_low_pef,2035,Primary energy factor,1.3144511
DK,1_no_pol_cep_low_pef,2040,Primary energy factor,1.2331275
DK,1_no_pol_cep_low_pef,2045,Primary energy factor,1.0704805
DK,1_no_pol_cep_low_pef,START,Primary energy factor,1.542157
DK,2_no_pol_ep,START,Primary energy factor,1.542157
DK,3_no_pol_ep_low_pef,2030,Primary energy factor,1.3957746
DK,3_no_pol_ep_low_pef,2033,Primary energy factor,1.3469805
DK,3_no_pol_ep_low_pef,2035,Primary energy factor,1.3144511
DK,3_no_pol_ep_low_pef,2040,Primary energy factor,1.2331275
DK,3_no_pol_ep_low_pef,2045,Primary energy factor,1.0704805
DK,3_no_pol_ep_low_pef,START,Primary energy factor,1.542157
DK,4_low_pol_co2_75,START,Primary energy factor,1.542157
DK,5_low_pol_co2_75_low_pef,2030,Primary energy factor,1.3957746
DK,5_low_pol_co2_75_low_pef,2033,Primary energy factor,1.3469805
DK,5_low_pol_co2_75_low_pef,2035,Primary energy factor,1.3144511
DK,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.2331275
DK,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.0704805
DK,5_low_pol_co2_75_low_pef,START,Primary energy factor,1.542157
DK,6_co2_300,START,Primary energy factor,1.542157
DK,7_co2_300_low_pef,2030,Primary energy factor,1.3957746
DK,7_co2_300_low_pef,2033,Primary energy factor,1.3469805
DK,7_co2_300_low_pef,2035,Primary energy factor,1.3144511
DK,7_co2_300_low_pef,2040,Primary energy factor,1.2331275
DK,7_co2_300_low_pef,2045,Primary energy factor,1.0704805
DK,7_co2_300_low_pef,START,Primary energy factor,1.542157
DK,8_nofoss_co2_75,START,Primary energy factor,1.542157
DK,9_nofoss_co2_75_low_pef,2030,Primary energy factor,1.3957746
DK,9_nofoss_co2_75_low_pef,2033,Primary energy factor,1.3469805
DK,9_nofoss_co2_75_low_pef,2035,Primary energy factor,1.3144511
DK,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.2331275
DK,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.0704805
DK,9_nofoss_co2_75_low_pef,START,Primary energy factor,1.542157
ES,0_no_pol_cep,START,Primary energy factor,2.1869974
ES,1_no_pol_cep_low_pef,2030,Primary energy factor,1.866508
ES,1_no_pol_cep_low_pef,2033,Primary energy factor,1.7596782
ES,1_no_pol_cep_low_pef,2035,Primary energy factor,1.6884584
ES,1_no_pol_cep_low_pef,2040,Primary energy factor,1.5104089
ES,1_no_pol_cep_low_pef,2045,Primary energy factor,1.1543096
ES,1_no_pol_cep_low_pef,START,Primary energy factor,2.1869974
ES,2_no_pol_ep,START,Primary energy factor,2.1869974
ES,3_no_pol_ep_low_pef,2030,Primary energy factor,1.866508
ES,3_no_pol_ep_low_pef,2033,Primary energy factor,1.7596782
ES,3_no_pol_ep_low_pef,2035,Primary energy factor,1.6884584
ES,3_no_pol_ep_low_pef,2040,Primary energy factor,1.5104089
ES,3_no_pol_ep_low_pef,2045,Primary energy factor,1.1543096
ES,3_no_pol_ep_low_pef,START,Primary energy factor,2.1869974
ES,4_low_pol_co2_75,START,Primary energy factor,2.1869974
ES,5_low_pol_co2_75_low_pef,2030,Primary energy factor,1.866508
ES,5_low_pol_co2_75_low_pef,2033,Primary energy factor,1.7596782
ES,5_low_pol_co2_75_low_pef,2035,Primary energy factor,1.6884584
ES,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.5104089
ES,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.1543096
ES,5_low_pol_co2_75_low_pef,START,Primary energy factor,2.1869974
ES,6_co2_300,START,Primary energy factor,2.1869974
ES,7_co2_300_low_pef,2030,Primary energy factor,1.866508
ES,7_co2_300_low_pef,2033,Primary energy factor,1.7596782
ES,7_co2_300_low_pef,2035,Primary energy factor,1.6884584
ES,7_co2_300_low_pef,2040,Primary energy factor,1.5104089
ES,7_co2_300_low_pef,2045,Primary energy factor,1.1543096
ES,7_co2_300_low_pef,START,Primary energy factor,2.1869974
ES,8_nofoss_co2_75,START,Primary energy factor,2.1869974
ES,9_nofoss_co2_75_low_pef,2030,Primary energy factor,1.866508
ES,9_nofoss_co2_75_low_pef,2033,Primary energy factor,1.7596782
ES,9_nofoss_co2_75_low_pef,2035,Primary energy factor,1.6884584
ES,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.5104089
ES,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.1543096
ES,9_nofoss_co2_75_low_pef,START,Primary energy factor,2.1869974
EE,0_no_pol_cep,START,Primary energy factor,2.9272263
EE,1_no_pol_cep_low_pef,2030,Primary energy factor,2.4068751
EE,1_no_pol_cep_low_pef,2033,Primary energy factor,2.233425
EE,1_no_pol_cep_low_pef,2035,Primary energy factor,2.1177912
EE,1_no_pol_cep_low_pef,2040,Primary energy factor,1.8287073
EE,1_no_pol_cep_low_pef,2045,Primary energy factor,1.2505394
EE,1_no_pol_cep_low_pef,START,Primary energy factor,2.9272263
EE,2_no_pol_ep,START,Primary energy factor,2.9272263
EE,3_no_pol_ep_low_pef,2030,Primary energy factor,2.4068751
EE,3_no_pol_ep_low_pef,2033,Primary energy factor,2.233425
EE,3_no_pol_ep_low_pef,2035,Primary energy factor,2.1177912
EE,3_no_pol_ep_low_pef,2040,Primary energy factor,1.8287073
EE,3_no_pol_ep_low_pef,2045,Primary energy factor,1.2505394
EE,3_no_pol_ep_low_pef,START,Primary energy factor,2.9272263
EE,4_low_pol_co2_75,START,Primary energy factor,2.9272263
EE,5_low_pol_co2_75_low_pef,2030,Primary energy factor,2.4068751
EE,5_low_pol_co2_75_low_pef,2033,Primary energy factor,2.233425
EE,5_low_pol_co2_75_low_pef,2035,Primary energy factor,2.1177912
EE,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.8287073
EE,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.2505394
EE,5_low_pol_co2_75_low_pef,START,Primary energy factor,2.9272263
EE,6_co2_300,START,Primary energy factor,2.9272263
EE,7_co2_300_low_pef,2030,Primary energy factor,2.4068751
EE,7_co2_300_low_pef,2033,Primary energy factor,2.233425
EE,7_co2_300_low_pef,2035,Primary energy factor,2.1177912
EE,7_co2_300_low_pef,2040,Primary energy factor,1.8287073
EE,7_co2_300_low_pef,2045,Primary energy factor,1.2505394
EE,7_co2_300_low_pef,START,Primary energy factor,2.9272263
EE,8_nofoss_co2_75,START,Primary energy factor,2.9272263
EE,9_nofoss_co2_75_low_pef,2030,Primary energy factor,2.4068751
EE,9_nofoss_co2_75_low_pef,2033,Primary energy factor,2.233425
EE,9_nofoss_co2_75_low_pef,2035,Primary energy factor,2.1177912
EE,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.8287073
EE,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.2505394
EE,9_nofoss_co2_75_low_pef,START,Primary energy factor,2.9272263
FI,0_no_pol_cep,START,Primary energy factor,2.0228815
FI,1_no_pol_cep_low_pef,2030,Primary energy factor,1.7467035
FI,1_no_pol_cep_low_pef,2033,Primary energy factor,1.6546443
FI,1_no_pol_cep_low_pef,2035,Primary energy factor,1.5932714
FI,1_no_pol_cep_low_pef,2040,Primary energy factor,1.4398391
FI,1_no_pol_cep_low_pef,2045,Primary energy factor,1.1329746
FI,1_no_pol_cep_low_pef,START,Primary energy factor,2.0228815
FI,2_no_pol_ep,START,Primary energy factor,2.0228815
FI,3_no_pol_ep_low_pef,2030,Primary energy factor,1.7467035
FI,3_no_pol_ep_low_pef,2033,Primary energy factor,1.6546443
FI,3_no_pol_ep_low_pef,2035,Primary energy factor,1.5932714
FI,3_no_pol_ep_low_pef,2040,Primary energy factor,1.4398391
FI,3_no_pol_ep_low_pef,2045,Primary energy factor,1.1329746
FI,3_no_pol_ep_low_pef,START,Primary energy factor,2.0228815
FI,4_low_pol_co2_75,START,Primary energy factor,2.0228815
FI,5_low_pol_co2_75_low_pef,2030,Primary energy factor,1.7467035
FI,5_low_pol_co2_75_low_pef,2033,Primary energy factor,1.6546443
FI,5_low_pol_co2_75_low_pef,2035,Primary energy factor,1.5932714
FI,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.4398391
FI,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.1329746
FI,5_low_pol_co2_75_low_pef,START,Primary energy factor,2.0228815
FI,6_co2_300,START,Primary energy factor,2.0228815
FI,7_co2_300_low_pef,2030,Primary energy factor,1.7467035
FI,7_co2_300_low_pef,2033,Primary energy factor,1.6546443
FI,7_co2_300_low_pef,2035,Primary energy factor,1.5932714
FI,7_co2_300_low_pef,2040,Primary energy factor,1.4398391
FI,7_co2_300_low_pef,2045,Primary energy factor,1.1329746
FI,7_co2_300_low_pef,START,Primary energy factor,2.0228815
FI,8_nofoss_co2_75,START,Primary energy factor,2.0228815
FI,9_nofoss_co2_75_low_pef,2030,Primary energy factor,1.7467035
FI,9_nofoss_co2_75_low_pef,2033,Primary energy factor,1.6546443
FI,9_nofoss_co2_75_low_pef,2035,Primary energy factor,1.5932714
FI,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.4398391
FI,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.1329746
FI,9_nofoss_co2_75_low_pef,START,Primary energy factor,2.0228815
FR,0_no_pol_cep,START,Primary energy factor,2.8679066
FR,1_no_pol_cep_low_pef,2030,Primary energy factor,2.363572
FR,1_no_pol_cep_low_pef,2033,Primary energy factor,2.1954603
FR,1_no_pol_cep_low_pef,2035,Primary energy factor,2.083386
FR,1_no_pol_cep_low_pef,2040,Primary energy factor,1.8031999
FR,1_no_pol_cep_low_pef,2045,Primary energy factor,1.2428279
FR,1_no_pol_cep_low_pef,START,Primary energy factor,2.8679066
FR,2_no_pol_ep,START,Primary energy factor,2.8679066
FR,3_no_pol_ep_low_pef,2030,Primary energy factor,2.363572
FR,3_no_pol_ep_low_pef,2033,Primary energy factor,2.1954603
FR,3_no_pol_ep_low_pef,2035,Primary energy factor,2.083386
FR,3_no_pol_ep_low_pef,2040,Primary energy factor,1.8031999
FR,3_no_pol_ep_low_pef,2045,Primary energy factor,1.2428279
FR,3_no_pol_ep_low_pef,START,Primary energy factor,2.8679066
FR,4_low_pol_co2_75,START,Primary energy factor,2.8679066
FR,5_low_pol_co2_75_low_pef,2030,Primary energy factor,2.363572
FR,5_low_pol_co2_75_low_pef,2033,Primary energy factor,2.1954603
FR,5_low_pol_co2_75_low_pef,2035,Primary energy factor,2.083386
FR,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.8031999
FR,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.2428279
FR,5_low_pol_co2_75_low_pef,START,Primary energy factor,2.8679066
FR,6_co2_300,START,Primary energy factor,2.8679066
FR,7_co2_300_low_pef,2030,Primary energy factor,2.363572
FR,7_co2_300_low_pef,2033,Primary energy factor,2.1954603
FR,7_co2_300_low_pef,2035,Primary energy factor,2.083386
FR,7_co2_300_low_pef,2040,Primary energy factor,1.8031999
FR,7_co2_300_low_pef,2045,Primary energy factor,1.2428279
FR,7_co2_300_low_pef,START,Primary energy factor,2.8679066
FR,8_nofoss_co2_75,START,Primary energy factor,2.8679066
FR,9_nofoss_co2_75_low_pef,2030,Primary energy factor,2.363572
FR,9_nofoss_co2_75_low_pef,2033,Primary energy factor,2.1954603
FR,9_nofoss_co2_75_low_pef,2035,Primary energy factor,2.083386
FR,9_nofoss_co2_75_low_pef,2040,Primary energy factor,1.8031999
FR,9_nofoss_co2_75_low_pef,2045,Primary energy factor,1.2428279
FR,9_nofoss_co2_75_low_pef,START,Primary energy factor,2.8679066
GR,0_no_pol_cep,START,Primary energy factor,2.3169732
GR,1_no_pol_cep_low_pef,2030,Primary energy factor,1.9613905
GR,1_no_pol_cep_low_pef,2033,Primary energy factor,1.842863
GR,1_no_pol_cep_low_pef,2035,Primary energy factor,1.7638445
GR,1_no_pol_cep_low_pef,2040,Primary energy factor,1.5662985
GR,1_no_pol_cep_low_pef,2045,Primary energy factor,1.1712065
GR,1_no_pol_cep_low_pef,START,Primary energy factor,2.3169732
GR,2_no_pol_ep,START,Primary energy factor,2.3169732
GR,3_no_pol_ep_low_pef,2030,Primary energy factor,1.9613905
GR,3_no_pol_ep_low_pef,2033,Primary energy factor,1.842863
GR,3_no_pol_ep_low_pef,2035,Primary energy factor,1.7638445
GR,3_no_pol_ep_low_pef,2040,Primary energy factor,1.5662985
GR,3_no_pol_ep_low_pef,2045,Primary energy factor,1.1712065
GR,3_no_pol_ep_low_pef,START,Primary energy factor,2.3169732
GR,4_low_pol_co2_75,START,Primary energy factor,2.3169732
GR,5_low_pol_co2_75_low_pef,2030,Primary energy factor,1.9613905
GR,5_low_pol_co2_75_low_pef,2033,Primary energy factor,1.842863
GR,5_low_pol_co2_75_low_pef,2035,Primary energy factor,1.7638445
GR,5_low_pol_co2_75_low_pef,2040,Primary energy factor,1.5662985
GR,5_low_pol_co2_75_low_pef,2045,Primary energy factor,1.1712065
GR,5_low_pol_co2_75_low_pef,START,Primary energy factor,2.3169732
GR,6_co2_300,START,Primary energy factor,2.3169732
GR,7_co2_300_low_pef,2030,Primary energy factor,1.9613905
