country,scenario,pef_assumption,year,type,data_type_id,unit_id,portion,value,service_factor
Finland,Economics,decreasing,2026,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.9706642183165424,area-scaled PED_excl_sf
Finland,Economics,decreasing,2030,PED,PED_excl_sf,GWh/yr,WPBs,49571.2446818006,excl. service factor
Finland,Economics,decreasing,2030,PED,PED_excl_sf,GWh/yr,other,23526.97436013178,excl. service factor
Finland,Economics,decreasing,2030,PED,PED_excl_sf,GWh/yr,total,73098.21904193237,excl. service factor
Finland,Economics,decreasing,2030,PED share,PED_excl_sf,-,WPB reduction,0.1877621675542544,excl. service factor
Finland,Economics,decreasing,2030,PED share,PED_excl_sf,-,other reduction,-0.0469039386087821,excl. service factor
Finland,Economics,decreasing,2030,PED share,PED_excl_sf,-,remainder,0.8591417710545277,excl. service factor
Finland,Economics,decreasing,2030,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,169.4612859939266,area-scaled PED_excl_sf
Finland,Economics,decreasing,2030,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,80.4279044475518,area-scaled PED_excl_sf
Finland,Economics,decreasing,2030,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,249.8891904414784,area-scaled PED_excl_sf
Finland,Economics,decreasing,2030,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.1938803361084695,area-scaled PED_excl_sf
Finland,Economics,decreasing,2030,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,-0.04400019883726838,area-scaled PED_excl_sf
Finland,Economics,decreasing,2030,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.850119862728799,area-scaled PED_excl_sf
Finland,Economics,decreasing,2033,PED,PED_excl_sf,GWh/yr,WPBs,46418.24676949112,excl. service factor
Finland,Economics,decreasing,2033,PED,PED_excl_sf,GWh/yr,other,22241.3564886949,excl. service factor
Finland,Economics,decreasing,2033,PED,PED_excl_sf,GWh/yr,total,68659.60325818602,excl. service factor
Finland,Economics,decreasing,2033,PED share,PED_excl_sf,-,WPB reduction,0.2248201457925323,excl. service factor
Finland,Economics,decreasing,2033,PED share,PED_excl_sf,-,other reduction,-0.03179374810835389,excl. service factor
Finland,Economics,decreasing,2033,PED share,PED_excl_sf,-,remainder,0.8069736023158216,excl. service factor
